Time,country,eventName,beforeValue,nowValue,expectValue
2000-08-22 17:00,EUR,德国Ifo商业景气指数,99.1,101.5,100.4
2000-08-26 01:00,USD,贝克休斯原油钻井设备数量,200,-1,206
2000-09-01 17:00,USD,10年期国债拍卖 ,5.75%,-1,6.50%
2000-09-01 17:00,USD,商业库存 ,0.70%,-1,0.10%
2000-09-01 17:00,USD,谘商会消费者信心 ,140.8,-1,143
2000-09-01 17:00,USD,芝加哥PMI ,47.2,-1,52.1
2000-09-01 17:00,USD,核心消费价格指数,0.20%,-1,0.20%
2000-09-01 17:00,USD,核心消费价格指数,2.60%,-1,2.50%
2000-09-01 17:00,USD,核心PCE物价指数 ,0.10%,-1,0.20%
2000-09-01 17:00,USD,核心PCE物价指数 ,1.80%,-1,1.80%
2000-09-01 17:00,USD,核心零售销售 ,0.10%,-1,0.30%
2000-09-01 17:00,USD,居民消费价格指数,0.00%,-1,0.30%
2000-09-01 17:00,USD,原油库存 ,0.99M,-1,-2.23M
2000-09-01 17:00,USD,现房销售 ,1.20%,-1,-0.40%
2000-09-01 17:00,USD,成品房销售 ,5.17M,-1,5.11M
2000-09-01 17:00,USD,出口价格指数 ,-0.20%,-1,-0.10%
2000-09-01 17:00,USD,工厂订单 ,-0.80%,-1,-8.30%
2000-09-01 17:00,USD,联邦财政预算 ,-10.40B,-1,5.10B
2000-09-01 17:00,USD,新屋开工 ,1.54M,-1,1.46M
2000-09-01 17:00,USD,新屋开工 ,5.30%,-1,-6.20%
2000-09-01 17:00,USD,进口物价指数 ,0.20%,-1,0.00%
2000-09-01 17:00,USD,工业生产指数 ,-0.30%,-1,-0.10%
2000-09-01 17:00,USD,初请失业金人数 ,311.00K,-1,298.86K
2000-09-01 17:00,USD,ISM制造业就业指数 ,48.8,-1,52.5
2000-09-01 17:00,USD,ISM制造业PMI ,49.9,-1,52.5
2000-09-01 17:00,USD,ISM非制造业就业指数 ,54.2,-1,50.5
2000-09-01 17:00,USD,ISM非制造业PMI ,57.6,-1,55.3
2000-09-01 17:00,USD,密歇根大学消费者预期指数 ,104.5,-1,104.5
2000-09-01 17:00,USD,密歇根大学消费者信心指数 ,107.3,-1,108
2000-09-01 17:00,USD,新屋销售 ,-4.40%,-1,11.90%
2000-09-01 17:00,USD,新屋销售 ,848.00K,-1,887.00K
2000-09-01 17:00,USD,个人支出 ,0.50%,-1,0.30%
2000-09-01 17:00,USD,费城联储制造业指数 ,17,-1,4.7
2000-09-01 17:00,USD,费城联储就业指数 ,14.3,-1,7.2
2000-09-01 17:00,USD,私人部门非农就业 ,15.00K,-1,199.00K
2000-09-01 17:00,USD,零售销售 ,0.10%,-1,-0.30%
2000-09-01 17:00,USD,TIC长期资本净流入 ,60.00B,-1,8.10B
2000-09-01 17:00,USD,贸易收支 ,-30.00B,-1,-31.40B
2000-09-01 17:00,CAD,营建许可 ,11.90%,-1,-4.10%
2000-09-01 17:00,CAD,核心消费价格指数,0.20%,-1,0.00%
2000-09-01 17:00,CAD,核心消费价格指数,1.20%,-1,1.20%
2000-09-01 17:00,CAD,核心零售销售 ,-0.40%,-1,1.40%
2000-09-01 17:00,CAD,居民消费价格指数,-0.10%,-1,0.30%
2000-09-01 17:00,CAD,就业人口变化 ,19.90K,-1,3.60K
2000-09-01 17:00,CAD,外资证券购买 ,2.26B,-1,-0.02B
2000-09-01 17:00,CAD,国内生产总值,0.40%,-1,0.20%
2000-09-01 17:00,CAD,新屋开工 ,150.50K,-1,167.50K
2000-09-01 17:00,CAD,利率决议 ,5.75%,-1,5.75%
2000-09-01 17:00,CAD,制造业销售额 ,1.80%,-1,-0.30%
2000-09-01 17:00,CAD,新屋价格指数 ,0.10%,-1,0.30%
2000-09-01 17:00,CAD,零售销售 ,0.30%,-1,1.50%
2000-09-01 17:00,CAD,原材料价格指数 ,2.30%,-1,-1.50%
2000-09-01 17:00,CAD,贸易收支 ,5.61B,-1,5.45B
2000-09-01 17:00,CAD,失业率 ,7.00%,-1,6.80%
2000-09-01 17:00,CAD,批发销售额 ,-1.90%,-1,0.90%
2000-09-01 17:00,EUR,德国商业期望 ,101.7,-1,103.2
2000-09-01 17:00,EUR,德国居民消费价格指数,-0.20%,-1,0.50%
2000-09-01 17:00,EUR,德国当前评估 ,106.8,-1,105.7
2000-09-01 17:00,EUR,德国工厂订单 ,0.50%,-1,0.00%
2000-09-01 17:00,EUR,德国工业生产指数 ,0.60%,-1,2.10%
2000-09-01 17:00,EUR,德国生产者物价指数,0.20%,-1,0.60%
2000-09-01 17:00,EUR,德国零售销售 ,-0.50%,-1,-0.30%
2000-09-01 17:00,EUR,德国贸易收支 ,3.20B,-1,5.40B
2000-09-01 17:00,EUR,德国失业人数变化 ,-5.00K,-1,-11.00K
2000-09-01 17:00,EUR,德国失业率 ,9.50%,-1,9.50%
2000-09-01 17:00,EUR,德国ZEW经济现状指数 ,45.1,-1,39.6
2000-09-01 17:00,EUR,德国ZEW经济景气指数 ,67.7,-1,71.9
2000-09-01 17:00,EUR,核心消费价格指数,0.90%,-1,0.90%
2000-09-01 17:00,EUR,居民消费价格指数,2.30%,-1,2.00%
2000-09-01 17:00,EUR,居民消费价格指数,0.10%,-1,0.10%
2000-09-01 17:00,EUR,工业生产指数 ,0.10%,-1,1.30%
2000-09-01 17:00,EUR,利率决议 ,4.50%,-1,4.25%
2000-09-01 17:00,EUR,零售销售 ,-0.10%,-1,-0.20%
2000-09-01 17:00,EUR,贸易收支 ,-3.70B,-1,1.70B
2000-09-01 17:00,EUR,失业率 ,8.80%,-1,8.80%
2000-09-01 20:30,USD,非农就业人数 ,-15K,-1,179K
2000-09-01 20:30,USD,失业率 ,4.10%,-1,4%
2000-09-02 01:00,USD,贝克休斯原油钻井设备数量,202,-1,200
2000-09-09 01:00,USD,贝克休斯原油钻井设备数量,201,-1,202
2000-09-16 01:00,USD,贝克休斯原油钻井设备数量,194,-1,201
2000-09-20 17:00,EUR,德国Ifo商业景气指数,99,99.4,99.1
2000-09-23 01:00,USD,贝克休斯原油钻井设备数量,193,-1,194
2000-09-30 01:00,USD,贝克休斯原油钻井设备数量,207,-1,193
2000-10-01 17:00,USD,商业库存 ,0.00%,-1,0.70%
2000-10-01 17:00,USD,谘商会消费者信心 ,142.5,-1,140.8
2000-10-01 17:00,USD,芝加哥PMI ,50.1,-1,47.2
2000-10-01 17:00,USD,核心消费价格指数,0.20%,-1,0.20%
2000-10-01 17:00,USD,核心消费价格指数,2.60%,-1,2.60%
2000-10-01 17:00,USD,核心PCE物价指数 ,0.20%,-1,0.10%
2000-10-01 17:00,USD,核心PCE物价指数 ,1.80%,-1,1.80%
2000-10-01 17:00,USD,核心零售销售 ,1.50%,-1,0.10%
2000-10-01 17:00,USD,居民消费价格指数,0.50%,-1,0.00%
2000-10-01 17:00,USD,原油库存 ,-0.54M,-1,0.99M
2000-10-01 17:00,USD,现房销售 ,2.30%,-1,1.20%
2000-10-01 17:00,USD,成品房销售 ,5.29M,-1,5.17M
2000-10-01 17:00,USD,出口价格指数 ,0.60%,-1,-0.20%
2000-10-01 17:00,USD,工厂订单 ,4.00%,-1,-0.80%
2000-10-01 17:00,USD,联邦财政预算 ,65.70B,-1,-10.40B
2000-10-01 17:00,USD,新屋开工 ,-2.20%,-1,5.30%
2000-10-01 17:00,USD,新屋开工 ,1.51M,-1,1.54M
2000-10-01 17:00,USD,进口物价指数 ,1.20%,-1,0.20%
2000-10-01 17:00,USD,工业生产指数 ,0.40%,-1,-0.30%
2000-10-01 17:00,USD,初请失业金人数 ,300.05K,-1,311.00K
2000-10-01 17:00,USD,ISM制造业就业指数 ,50.6,-1,48.8
2000-10-01 17:00,USD,ISM制造业PMI ,49.7,-1,49.9
2000-10-01 17:00,USD,ISM非制造业就业指数 ,53.5,-1,54.2
2000-10-01 17:00,USD,ISM非制造业PMI ,56.7,-1,57.6
2000-10-01 17:00,USD,密歇根大学消费者预期指数 ,105.8,-1,104
2000-10-01 17:00,USD,密歇根大学消费者信心指数 ,106.8,-1,107.8
2000-10-01 17:00,USD,新屋销售 ,7.50%,-1,-4.40%
2000-10-01 17:00,USD,新屋销售 ,912.00K,-1,848.00K
